name,email,phone,department,availability
Prof. S. D. Garle,sdgarle@example.com,8765432109,AI & Ds
Dr. R. R. Bhure,rrbhure@example.com,7896543210,AI & Ds
Dr. P. G. Angaitkar,pgangaitkar@example.com,9123456789,AI & Ds
Prof. M. A. Pohane,mapohane@example.com,8987654321,AI & Ds
Prof. S. A. Khan,sakhan@example.com,7654321098,AI & Ds
Prof. S. M. Khan,smkhan@example.com,9871234567,AI & Ds
Prof. A. S. Mishra,asmishra@example.com,8769876543,AI & Ds
Prof. S.C. Pakhale,scpakhale@example.com,7890123456,AI & Ds
Prof. M. M. Mohod,mmmohod@example.com,9012345678,AI & Ds
Prof. P. R. Maskare,prmaskare@example.com,8901234567,AI & Ds
Prof. A. H. Bhagat,ahbhagat@example.com,9786543210,AI & Ds
Prof. P. S. Pawar,pspawar@example.com,8678901234,AI & Ds
Prof. R. S. Dolas,rsdolas@example.com,9567812345,AI & Ds
Prof. S. S. Sagane,sssagane@example.com,7895678901,AI & Ds
Prof. A.R. Ladole,arladole@example.com,9123789456,AI & Ds
Prof. Y.M. Babnekar,ymbabnekar@example.com,8904567891,AI & Ds
Prof. P.D. Bharsakle,pdbharsakle@example.com,9878901234,AI & Ds
Prof. M.A. Pardey,mapardey@example.com,8769012345,AI & Ds
